Catalogue	Full Name	Alternatives	Species	Sample Type	Detection Range	Sensitivity	Experimental Method	Size	Marketing Price（USD）	Size	Marketing Price(USD)	Shelf Life	Gene ID	UniProtKB	Product Link
RD-C4-Mu	Mouse Complement Component 4 (C4) ELISA Kit	C4BP-a,Complement Component 4 Binding Protein,Alpha  	Mus musculus mouse  	serum, plasma and other biological fluids.  	15.625-1000ng/mL  	4.79ng/mL  	sandwich  	96T  	603.3	48T  	422.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/1476/Mouse_Complement_Component_4_C4_ELISA_Kit/
RDR-C4-Mu	Mouse Complement Component 4 (C4) ELISA Kit	C4BP-a,Complement Component 4 Binding Protein,Alpha  	Mus musculus mouse  	serum, plasma and other biological fluids.  	15.6-1000ng/mL  	4.79ng/mL  	sandwich  	96T  	633.47	48T  	443.42	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/12042/Mouse_Complement_Component_4_C4_ELISA_Kit/
RD-FG-b	Bovine Fibrinogen (FG) ELISA Kit	F1,FI,Fbg,Coagulation Factor I  	Bos taurus; Bovine Cattle  	plasma.  	12.5-800ng/mL  	5.1ng/mL  	sandwich  	96T  	693.3	48T  	485.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2703/Bovine_Fibrinogen_FG_ELISA_Kit/
RDR-FG-b	Bovine Fibrinogen (FG) ELISA Kit	F1,FI,Fbg,Coagulation Factor I  	Bos taurus; Bovine Cattle  	plasma.  	12.5-800ng/mL  	5.1ng/mL  	sandwich  	96T  	727.97	48T  	509.57	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8645/Bovine_Fibrinogen_FG_ELISA_Kit/
RD-LZM-b	Bovine Lysozyme (LZM) ELISA Kit	LYZ,Renal Amyloidosis,N-Acetylmuramide Glycanhydrolase,Muramidase,1,4-beta-N-acetylmuramidase C  	Bos taurus; Bovine Cattle  	serum, plasma and other biological fluids.  	0.312-20ng/mL  	0.141ng/mL  	sandwich  	96T  	728.3	48T  	509.8	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/3830/Bovine_Lysozyme_LZM_ELISA_Kit/
RDR-LZM-b	Bovine Lysozyme (LZM) ELISA Kit	LYZ,Renal Amyloidosis,N-Acetylmuramide Glycanhydrolase,Muramidase,1,4-beta-N-acetylmuramidase C  	Bos taurus; Bovine Cattle  	serum, plasma and other biological fluids.  	0.312-20ng/mL  	0.141ng/mL  	sandwich  	96T  	764.72	48T  	535.29	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8620/Bovine_Lysozyme_LZM_ELISA_Kit/
RD-D2D-Eq	Equine D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Equus caballus; Equine Horse  	plasma.  	78.125-5000ng/mL  	22.8ng/mL  	competitive inhibition  	96T  	708.3	48T  	495.8	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2218/Equine_D_Dimer_D2D_ELISA_Kit/
RDR-D2D-Eq	Equine D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Equus caballus; Equine Horse  	plasma.  	78.1-5000ng/mL  	22.8ng/mL  	competitive inhibition  	96T  	743.72	48T  	520.59	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8508/Equine_D_Dimer_D2D_ELISA_Kit/
RD-8-epi-PGF2a-Ge	General 8-Epi Prostaglandin F2 Alpha (8-epi-PGF2a) ELISA Kit	8epi-PGF2a  	General  	serum, plasma and other biological fluids.  	15.625-1000pg/mL  	5.62pg/mL  	competitive inhibition  	96T  	573.3	48T  	401.3	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/795/General_8_Epi_Prostaglandin_F2_Alpha_8_epi_PGF2a_ELISA_Kit/
RDR-8-epi-PGF2a-Ge	General 8-Epi Prostaglandin F2 Alpha (8-epi-PGF2a) ELISA Kit	8epi-PGF2a  	General  	serum, plasma and other biological fluids.  	15.625-1000pg/mL  	5.62pg/mL  	competitive inhibition  	96T  	601.9	48T  	421.3	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13434/General_8_Epi_Prostaglandin_F2_Alpha_8_epi_PGF2a_ELISA_Kit/
RD-OVA-Ge	General Ovalbumin (OVA) ELISA Kit	  	General  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.156-10ng/mL  	0.069ng/mL  	competitive inhibition  	96T  	403.3	48T  	282.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/4541/General_Ovalbumin_OVA_ELISA_Kit/
RDR-OVA-Ge	General Ovalbumin (OVA) ELISA Kit	  	General  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.156-10ng/mL  	0.069ng/mL  	competitive inhibition  	96T  	423.47	48T  	296.42	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8506/General_Ovalbumin_OVA_ELISA_Kit/
RD-VD1-Ge	General Vitamin D1 (VD1) ELISA Kit	Lumisterol,VD,Lamisterol,Vitamin D,Vitamin D1  	General  	serum, plasma, tissue homogenates and other biological fluids.  	6.25-400ng/mL  	3.08ng/mL  	competitive inhibition  	96T  	811.7	48T  	568.2	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13430/General_Vitamin_D1_VD1_ELISA_Kit/
RDR-VD1-Ge	General Vitamin D1 (VD1) ELISA Kit	Lumisterol,VD,Lamisterol,Vitamin D,Vitamin D1  	General  	serum, plasma, tissue homogenates and other biological fluids.  	6.25-400ng/mL  	3.08ng/mL  	competitive inhibition  	96T  	852.29	48T  	596.61	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/11761/General_Vitamin_D1_VD1_ELISA_Kit/
RD-AP12-Hu	Human Apelin 12 (AP12) ELISA Kit	APLN12  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	93.75-6000pg/mL  	25.16pg/mL  	competitive inhibition  	96T  	588.3	48T  	411.8	12 months  	  		https://www.reddotbiotech.ca/elisa_kits/product/1149/Human_Apelin_12_AP12_ELISA_Kit/
RDR-AP12-Hu	Human Apelin 12 (AP12) ELISA Kit	APLN12  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	93.7-6000pg/mL  	25.16pg/mL  	competitive inhibition  	96T  	617.72	48T  	432.39	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8851/Human_Apelin_12_AP12_ELISA_Kit/
RD-BK-Hu	Human Bradykinin (BK) ELISA Kit	  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.2-2000pg/mL  	8.65pg/mL  	competitive inhibition  	96T  	588.3	48T  	411.8	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13380/Human_Bradykinin_BK_ELISA_Kit/
RDR-BK-Hu	Human Bradykinin (BK) ELISA Kit	  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.2-2000pg/mL  	8.65pg/mL  	competitive inhibition  	96T  	617.72	48T  	432.39	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/10050/Human_Bradykinin_BK_ELISA_Kit/
